CMFD Cell,FSR id,Centroid
46,3855,"-1.901482,-0.422170,-86.984419"
46,4064,"-1.863256,-0.422033,-81.951990"
46,1541,"-1.826516,-0.359657,-93.464437"
46,1631,"-1.837117,-0.270520,-86.946734"
46,3856,"-1.903361,-0.429125,-81.958897"
46,4063,"-1.860839,-0.411920,-86.964690"
46,1543,"-1.790734,-0.401949,-81.851813"
46,1632,"-1.838059,-0.279156,-81.908314"
47,1830,"-1.221680,-0.000000,-81.860119"
47,1829,"-1.222456,-0.000000,-86.966584"
47,2464,"-1.209171,-0.000000,-81.931463"
47,1828,"-1.221253,-0.000000,-93.500385"
47,2463,"-1.209349,-0.000000,-86.970711"
47,3997,"-1.210899,-0.000000,-86.969413"
47,3998,"-1.210709,-0.000000,-81.928418"
47,3257,"-1.225378,0.000000,-81.905422"
47,3256,"-1.225382,-0.000000,-86.952966"
48,3301,"-0.656858,0.374869,-86.947476"
48,1,"-0.626143,0.244958,-86.951071"
48,2,"-0.624424,0.249702,-81.879695"
48,615,"-0.565020,0.441607,-81.891596"
48,2121,"-0.697139,0.347782,-86.943410"
48,3302,"-0.651065,0.385518,-81.894310"
48,614,"-0.566282,0.437213,-86.927397"
48,2122,"-0.690834,0.356940,-81.878422"
48,0,"-0.606361,0.355632,-93.466342"
49,665,"0.000000,0.733655,-81.983351"
49,370,"0.000000,0.728995,-93.481932"
49,372,"0.000000,0.711341,-81.846970"
49,1171,"-0.000000,0.736075,-86.955716"
49,664,"0.000000,0.739921,-86.984285"
49,2929,"0.000000,0.736266,-86.955808"
49,1172,"-0.000000,0.737571,-81.846606"
49,371,"0.000000,0.712634,-86.955937"
49,2930,"0.000000,0.737761,-81.846411"
50,1456,"0.570064,1.024827,-86.965134"
50,2541,"0.558755,1.022942,-81.833879"
50,1235,"0.653508,1.064448,-81.833522"
50,1234,"0.654956,1.064052,-86.919868"
50,2540,"0.558012,1.022106,-86.944263"
50,1457,"0.569073,1.018911,-81.876014"
50,1947,"0.517901,1.005615,-81.829907"
50,1233,"0.614068,1.045598,-93.485011"
50,1946,"0.516756,1.004718,-86.940734"
51,1863,"1.219773,1.354631,-86.957267"
51,441,"1.071444,1.442240,-86.934723"
51,715,"1.224494,1.355722,-81.933376"
51,2786,"1.227066,1.350572,-86.974594"
51,1864,"1.219207,1.355520,-81.871846"
51,440,"1.183000,1.378928,-93.489683"
51,2787,"1.224213,1.356541,-81.920839"
51,442,"1.072173,1.451377,-81.917212"
51,714,"1.223551,1.348868,-86.953711"
52,1799,"1.875609,1.679257,-81.970030"
52,3286,"1.692954,1.709497,-86.995863"
52,1977,"1.732583,1.770296,-81.914220"
52,1563,"1.708106,1.722526,-81.946982"
52,1798,"1.871364,1.677316,-86.985613"
52,1562,"1.717244,1.722466,-86.920813"
52,1561,"1.794105,1.713064,-93.463702"
52,1976,"1.740554,1.769114,-86.920988"
52,3287,"1.688503,1.711567,-81.992334"
54,4017,"-2.373405,-0.000000,-81.925401"
54,281,"-2.345033,-0.000000,-86.955031"
54,3099,"-2.516999,0.000000,-81.841558"
54,3036,"-2.374648,0.000000,-86.969522"
54,4016,"-2.372762,-0.000000,-86.968285"
54,3098,"-2.519614,-0.000000,-86.950431"
54,282,"-2.345753,-0.000000,-81.912817"
54,3037,"-2.375240,0.000000,-81.928296"
54,280,"-2.423317,0.000000,-93.500594"
55,1101,"-1.826516,0.359657,-93.464437"
55,2378,"-1.901482,0.422170,-86.984419"
55,1896,"-1.790734,0.401949,-81.851813"
55,1895,"-1.788934,0.398315,-86.920955"
55,2493,"-1.860839,0.411920,-86.964690"
55,2494,"-1.863256,0.422033,-81.951990"
55,2379,"-1.903361,0.429125,-81.958897"
55,1103,"-1.838059,0.279156,-81.908314"
55,1102,"-1.837117,0.270520,-86.946734"
56,1392,"-1.288152,0.637891,-86.979933"
56,2363,"-1.176095,0.744268,-86.967153"
56,1616,"-1.180386,0.761026,-86.981340"
56,2364,"-1.179019,0.734611,-81.930927"
56,1151,"-1.214037,0.714570,-93.472055"
56,1152,"-1.173060,0.742293,-86.962977"
56,1393,"-1.296372,0.634410,-81.954642"
56,1617,"-1.175490,0.755935,-81.977456"
56,1153,"-1.179234,0.737875,-81.909667"
57,3192,"-0.654956,1.064052,-86.919868"
57,3632,"-0.558012,1.022106,-86.944263"
57,3633,"-0.558755,1.022942,-81.833879"
57,3678,"-0.516756,1.004718,-86.940734"
57,896,"-0.569073,1.018911,-81.876014"
57,3193,"-0.653508,1.064448,-81.833522"
57,3679,"-0.517901,1.005615,-81.829907"
57,894,"-0.614068,1.045598,-93.485011"
57,895,"-0.570064,1.024827,-86.965134"
58,1491,"0.000000,1.359358,-93.487888"
58,1714,"0.000000,1.402137,-81.980922"
58,1492,"0.000000,1.393657,-86.967713"
58,2021,"0.000000,1.391412,-86.984716"
58,1493,"0.000000,1.395171,-81.888072"
58,1713,"0.000000,1.384298,-86.935442"
58,3910,"0.000000,1.284178,-86.908743"
58,3911,"0.000000,1.291007,-81.850967"
58,2022,"0.000000,1.402420,-81.980928"
59,2739,"0.562113,1.683853,-86.985830"
59,2882,"0.594371,1.776262,-86.904494"
59,2740,"0.559944,1.685592,-81.961431"
