Start,End
"2.841500,0.071122","2.741959,0.115788"
"-1.646571,2.085000","-1.885769,2.192332"
"-1.885769,2.192332","-2.021376,2.253181"
"-2.021376,2.253181","-2.132069,2.302851"
"-2.132069,2.302851","-2.421000,2.432500"
"-2.421000,2.432500","-2.673627,2.545858"
"-2.673627,2.545858","-3.000000,2.692308"
"3.000000,0.538462","2.962000,0.555513"
"2.962000,0.555513","2.841500,0.609583"
"2.841500,0.609583","2.776367,0.638809"
"-1.221000,2.432500","-1.360988,2.495315"
"-1.360988,2.495315","-1.468532,2.543572"
"-1.468532,2.543572","-1.496594,2.556164"
"-1.496594,2.556164","-1.995429,2.780000"
"-1.995429,2.780000","-2.010091,2.786579"
"-2.010091,2.786579","-2.641447,3.069880"
"-2.641447,3.069880","-3.000000,3.230769"
"3.000000,1.076923","2.962000,1.093974"
"2.962000,1.093974","2.841500,1.148045"
"2.841500,1.148045","2.704586,1.209481"
"-0.795429,2.780000","-0.804995,2.784293"
"-0.804995,2.784293","-0.836206,2.798298"
"-0.836206,2.798298","-0.971813,2.859147"
"-0.971813,2.859147","-1.438448,3.068534"
"-1.438448,3.068534","-2.075838,3.354543"
"-2.075838,3.354543","-2.400000,3.500000"
"3.000000,1.615385","2.962000,1.632436"
"2.962000,1.632436","2.632805,1.780152"
"-0.235450,3.067189","-0.311425,3.101280"
"-0.311425,3.101280","-0.447031,3.162129"
"-0.447031,3.162129","-0.872840,3.353197"
"-0.872840,3.353197","-1.200000,3.500000"
"3.000000,2.153846","2.688313,2.293706"
"0.330159,3.351852","-0.000000,3.500000"
"3.000000,2.692308","2.807937,2.778490"
"3.000000,3.230769","2.736156,3.349161"
