x,y
-1.412314,-3.113801
-0.864723,-2.887745
-0.898283,-2.901599
-0.757761,-2.843588
-0.864723,-2.887745
-0.603727,-2.780000
-0.757761,-2.843588
-0.337901,-2.670262
-0.603727,-2.780000
-0.272652,-2.643325
-0.337901,-2.670262
-0.267318,-2.641124
-0.272652,-2.643325
-0.220040,-2.621606
-0.267318,-2.641124
-0.191230,-2.609713
-0.220040,-2.621606
0.015418,-2.524405
-0.191230,-2.609713
0.044227,-2.512512
0.015418,-2.524405
0.091505,-2.492994
0.044227,-2.512512
0.096839,-2.490792
0.091505,-2.492994
0.207830,-2.444973
0.096839,-2.490792
0.297900,-2.407790
0.207830,-2.444973
0.301800,-2.406180
0.297900,-2.407790
0.333656,-2.393029
0.301800,-2.406180
0.350036,-2.386267
0.333656,-2.393029
0.747783,-2.222069
0.350036,-2.386267
0.764163,-2.215307
0.747783,-2.222069
0.796020,-2.202156
0.764163,-2.215307
0.799919,-2.200546
0.796020,-2.202156
0.855888,-2.177441
0.799919,-2.200546
0.907224,-2.156248
0.855888,-2.177441
0.910733,-2.154800
0.907224,-2.156248
0.938964,-2.143146
0.910733,-2.154800
0.953114,-2.137304
0.938964,-2.143146
1.418337,-1.945251
0.953114,-2.137304
1.432488,-1.939409
1.418337,-1.945251
1.460718,-1.927755
1.432488,-1.939409
1.464227,-1.926306
1.460718,-1.927755
1.503945,-1.909910
1.464227,-1.926306
1.543610,-1.893535
1.503945,-1.909910
1.547114,-1.892089
1.543610,-1.893535
1.575294,-1.880455
1.547114,-1.892089
1.589415,-1.874626
1.575294,-1.880455
2.055669,-1.682147
1.589415,-1.874626
2.069789,-1.676318
2.055669,-1.682147
2.097970,-1.664684
2.069789,-1.676318
2.101474,-1.663238
2.097970,-1.664684
2.152003,-1.642378
2.101474,-1.663238
2.206919,-1.619708
2.152003,-1.642378
2.210796,-1.618107
2.206919,-1.619708
2.242439,-1.605044
2.210796,-1.618107
2.258683,-1.598339
2.242439,-1.605044
2.660033,-1.432653
2.258683,-1.598339
2.676277,-1.425947
2.660033,-1.432653
2.707920,-1.412884
2.676277,-1.425947
2.711797,-1.411284
2.707920,-1.412884
2.800060,-1.374847
2.711797,-1.411284
-2.110580,-3.294368
-2.608696,-3.500000
-1.462523,-3.026836
-2.110580,-3.294368
-1.007045,-2.838806
-1.462523,-3.026836
-0.866522,-2.780795
-1.007045,-2.838806
-0.814465,-2.759305
-0.866522,-2.780795
-0.711892,-2.716961
-0.814465,-2.759305
-0.706829,-2.714870
-0.711892,-2.716961
-0.662791,-2.696691
-0.706829,-2.714870
-0.637177,-2.686117
-0.662791,-2.696691
-0.397968,-2.587366
-0.637177,-2.686117
-0.372354,-2.576792
-0.397968,-2.587366
-0.328317,-2.558613
-0.372354,-2.576792
-0.323253,-2.556522
-0.328317,-2.558613
-0.256268,-2.528870
-0.323253,-2.556522
-0.022826,-2.432500
-0.256268,-2.528870
0.270554,-2.311387
-0.022826,-2.432500
0.335075,-2.284751
0.270554,-2.311387
0.340687,-2.282434
0.335075,-2.284751
0.391544,-2.261439
0.340687,-2.282434
0.424505,-2.247833
0.391544,-2.261439
0.597346,-2.176480
0.424505,-2.247833
0.630306,-2.162874
0.597346,-2.176480
0.681164,-2.141879
0.630306,-2.162874
0.686776,-2.139562
0.681164,-2.141879
0.805679,-2.090476
0.686776,-2.139562
0.900656,-2.051267
0.805679,-2.090476
0.904619,-2.049632
0.900656,-2.051267
0.937077,-2.036232
0.904619,-2.049632
0.953845,-2.029310
0.937077,-2.036232
1.341638,-1.869221
0.953845,-2.029310
