x,y,z
2.460774,0.296501,-83.250000
2.574429,0.347500,-93.250000
2.466760,0.299187,-93.250000
2.619981,0.367940,-93.250000
2.574429,0.347500,-93.250000
-2.698877,-1.480265,-83.250000
-2.744798,-1.500871,-83.250000
-2.695430,-1.478719,-83.250000
-2.698877,-1.480265,-83.250000
-2.667718,-1.466284,-83.250000
-2.695430,-1.478719,-83.250000
-2.653841,-1.460057,43.250000
-2.667718,-1.466284,43.250000
-2.191484,-1.252589,43.250000
-2.653841,-1.460057,43.250000
-2.177607,-1.246362,-83.250000
-2.191484,-1.252589,-83.250000
-2.149894,-1.233927,-83.250000
-2.177607,-1.246362,-83.250000
-2.146447,-1.232380,-83.250000
