x,y
0.891282,-0.946220
0.982762,-0.905171
0.935979,-0.926163
0.986392,-0.903542
0.982762,-0.905171
1.015780,-0.890355
0.986392,-0.903542
1.030663,-0.883677
1.015780,-0.890355
1.459806,-0.691113
1.030663,-0.883677
1.474689,-0.684434
1.459806,-0.691113
1.504077,-0.671247
1.474689,-0.684434
1.507707,-0.669619
1.504077,-0.671247
1.573369,-0.640155
1.507707,-0.669619
1.646193,-0.607477
1.573369,-0.640155
1.650347,-0.605613
1.646193,-0.607477
1.684762,-0.590171
1.650347,-0.605613
1.702897,-0.582033
1.684762,-0.590171
2.049183,-0.426648
1.702897,-0.582033
2.067318,-0.418511
2.049183,-0.426648
2.101733,-0.403068
2.067318,-0.418511
2.105887,-0.401204
2.101733,-0.403068
2.200400,-0.358795
2.105887,-0.401204
2.225571,-0.347500
2.200400,-0.358795
2.338143,-0.296987
2.225571,-0.347500
2.343848,-0.294427
2.338143,-0.296987
2.396309,-0.270887
2.343848,-0.294427
2.431948,-0.254895
2.396309,-0.270887
2.581744,-0.187679
2.431948,-0.254895
2.617383,-0.171687
2.581744,-0.187679
2.669845,-0.148147
